video_frame,rotulo,motivo
v45_f12,mask,Borda a mais C3/C4
v46_f53,mask,Vértebra Faltando
v49_f111,mask,Falta + borda direita errada
v50_f220,mask,Vértebra Faltando
v51_f45,mask,C2 Incorreta
v51_f58,mask,C2 Incorreta
v53_f17,mask,Vértebra Faltando
v53_f73,mask,Vértebra Faltando
v54_f128,mask,Vértebra Faltando
v55_f1,mask,C2 + Faltando
v55_f46,mask,C2 Errada
v56_f98,mask,Topo C2
v56_f99,mask,Vértebra Faltando
v58_f3,mask,C2 Incorreta
v59_f102,mask,Topo C2
v60_f88,mask,Vértebra Faltando
v63_f109,mask,Aparar um pouco o topo da C2
v63_f33,mask,Tudo Errado
v63_f78,mask,Falta Vértebra + Topo C2 (aparar um pouquinho)
v63_f91,mask,Topo C2
v64_f17,mask,Vértebra Faltando
v64_f47,mask,Vértebra Faltando
v64_f75,mask,Vértebra Faltando
v65_f155,mask,Vértebra Faltando
v66_f111,mask,Máscara Não Rotulada
v66_f161,mask,Máscara Não Rotulada
v69_f23,mask,Vértebra Faltando
v6_f124,mask,Falta + Topo C2
v6_f125,mask,Vértebra Faltando
v70_f117,mask,Vértebra Faltando
v71_f226,mask,Vértebra Faltando
v72_f203,mask,Falta + Borda Direita
v75_f215,mask,Vértebra Faltando
v77_f45,mask,Vértebra Faltando
v77_f51,mask,Vértebra Faltando
v78_f213,mask,Topo da C2 + Falta
v79_f251,mask,Falta + C2
v7_f145,mask,Vértebra Faltando
v7_f168,mask,Vértebra Faltando
v7_f88,mask,Topo C2 + Falta Vértebra
v80_f88,mask,Vértebra Faltando
v83_f29,mask,Vértebra Faltando
v83_f41,mask,Falta + Borda Errada C2
v83_f82,mask,Base da C7
v84_f222,mask,Topo C2
v85_f78,mask,Vértebra Faltando
v86_f155,mask,Borda Superior da C2
v88_f72,mask,Topo C2
v92_f23,mask,Vértebra Faltando
v94_f203,mask,Vértebra Faltando
v94_f72,mask,Vértebra Faltando
v95_f22,mask,Vértebra Faltando
