video_frame,rotulo,motivo
v77_f51,mask,Topo C2 + Falta Vértebra
v78_f213,mask,Topo da C2 + Falta
v79_f221,mask,Falta+ C5 Borda Direita
v80_f131,mask,Vértebra Faltando
v80_f88,mask,Topo C2 tá esquisito
v81_f60,mask,Borda direita C2
v82_f72,mask,Vértebra Faltando
v83_f3,mask,Vértebra Faltando
v84_f220,mask,Vértebra Faltando
v84_f222,mask,Vértebra Faltando
v85_f25,mask,C2 Incorreta
v85_f78,mask,Tudo Errado
v86_f186,mask,Vértebra Faltando
v8_f77,mask,Máscara Não Rotulada
v8_f93,mask,Falta + Borda direita
v90_f75,mask,Topo C2
v92_f80,mask,C4 Errada
v93_f52,mask,Vértebra Faltando
v94_f124,mask,Vértebra Faltando
v95_f126,mask,C2 Incorreta + Falta Vértebra
v97_f102,mask,Vértebra Faltando
v97_f106,mask,Vértebra Faltando
v99_f117,mask,Vértebra Faltando
v99_f55,mask,Vértebra Faltando
